timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:56:46.1014624 +0300 EAT m=+506.706045101,-0.1408275,-0.2831771,-0.09670654,-43.735214,23.015396,-0.13047613
2022-12-19 14:56:46.213232 +0300 EAT m=+506.817814701,-0.13605611,-0.23954424,-0.093614645,-42.233932,22.185154,-0.22837463
2022-12-19 14:56:46.326284 +0300 EAT m=+506.930866701,-0.20136563,-0.33026743,-0.21841107,-54.080383,7.339026,-0.95299387
2022-12-19 14:56:46.4034881 +0300 EAT m=+507.008070801,-0.13585983,-0.18915778,-0.11169293,-40.25117,16.349617,-0.50045216
2022-12-19 14:56:46.4985065 +0300 EAT m=+507.103089201,0.124060616,0.023400892,0.30107558,15.748535,48.60598,2.253905
2022-12-19 14:56:46.5993927 +0300 EAT m=+507.203975401,-0.009775421,-0.06450241,0.08091123,-12.281772,29.567278,0.7198415
2022-12-19 14:56:46.7221969 +0300 EAT m=+507.326779601,-0.03156301,-0.14583479,0.0804,-20.572872,37.733055,0.9093076
2022-12-19 14:56:46.8026876 +0300 EAT m=+507.407270301,-0.13082135,-0.290421,-0.090235434,-40.58549,21.245474,-0.04267841
2022-12-19 14:56:46.9081245 +0300 EAT m=+507.512707201,-0.22369382,-0.35925007,-0.23323686,-61.068092,11.153997,-1.0174872
2022-12-19 14:56:47.0048718 +0300 EAT m=+507.609454501,-0.043590672,-0.1908135,0.04425503,-21.365736,30.788872,0.77031094
2022-12-19 14:56:47.1088172 +0300 EAT m=+507.713399901,-0.10475179,-0.17749514,-0.06318863,-33.454304,19.920252,-0.1359962
2022-12-19 14:56:47.2073495 +0300 EAT m=+507.811932201,-0.19711396,-0.28580308,-0.18609263,-55.862095,16.041044,-0.8558108
2022-12-19 14:56:47.3109321 +0300 EAT m=+507.915514801,-0.3601172,-0.4346103,-0.4790398,-87.38407,-15.077195,-2.7688708
2022-12-19 14:56:47.4168919 +0300 EAT m=+508.021474601,-0.30564228,-0.25652656,-0.42617068,-72.09783,-19.025715,-2.8167994
2022-12-19 14:56:47.5108689 +0300 EAT m=+508.115451601,-0.31906733,-0.4140224,-0.42147538,-77.73531,-12.421032,-2.347166
