timestamp,Fx,Fy,Fz,Mx,My,Mz
2022-12-19 14:55:48.1702935 +0300 EAT m=+448.774876201,-0.19628525,-0.33642268,-0.21572556,-52.417873,6.2481666,-0.9051407
2022-12-19 14:55:48.262893 +0300 EAT m=+448.867475701,-0.08687217,-0.19364822,-0.04376549,-28.655575,19.266827,0.08385525
2022-12-19 14:55:48.3655921 +0300 EAT m=+448.970174801,-0.05962635,-0.13516809,-0.012159494,-21.554935,18.933117,0.18581058
2022-12-19 14:55:48.4595457 +0300 EAT m=+449.064128401,-0.09409713,-0.08888367,-0.07587178,-28.03507,11.809264,-0.46158582
2022-12-19 14:55:48.5676054 +0300 EAT m=+449.172188101,-0.24384914,-0.32111955,-0.2993334,-61.81357,-2.2191603,-1.6249894
2022-12-19 14:55:48.6707747 +0300 EAT m=+449.275357401,-0.30266115,-0.42621636,-0.3703034,-76.85101,-2.3705046,-1.9264954
2022-12-19 14:55:48.7631621 +0300 EAT m=+449.367744801,-0.29102722,-0.39273828,-0.35362223,-74.155174,-1.4936613,-1.8865618
2022-12-19 14:55:48.8634139 +0300 EAT m=+449.467996601,-0.16385032,-0.26483616,-0.16959949,-44.861843,8.565866,-0.73181796
2022-12-19 14:55:48.9667456 +0300 EAT m=+449.571328301,-0.19319475,-0.2886575,-0.2175457,-51.042095,4.49455,-1.0524498
2022-12-19 14:55:49.0676729 +0300 EAT m=+449.672255601,-0.07706804,-0.20112495,-0.025056217,-26.874582,21.482271,0.25510013
2022-12-19 14:55:49.1699038 +0300 EAT m=+449.774486501,-0.06657907,-0.17573817,-0.0012225762,-25.371998,25.079847,0.3651357
2022-12-19 14:55:49.2735158 +0300 EAT m=+449.878098501,-0.10538423,-0.16589177,-0.09289926,-30.561527,10.678048,-0.37385625
2022-12-19 14:55:49.3740323 +0300 EAT m=+449.978615001,-0.22851387,-0.31891012,-0.28081104,-57.89432,-2.1806126,-1.4714513
2022-12-19 14:55:49.4741577 +0300 EAT m=+450.078740401,-0.21174088,-0.33684748,-0.2178432,-58.114212,11.49468,-0.95271194
2022-12-19 14:55:49.5711556 +0300 EAT m=+450.175738301,-0.25942722,-0.3890749,-0.30927056,-66.731705,0.560394,-1.5254923
2022-12-19 14:55:49.6766721 +0300 EAT m=+450.281254801,-0.23971489,-0.26539585,-0.31429765,-58.65107,-8.56807,-1.8829681
2022-12-19 14:55:49.771434 +0300 EAT m=+450.376016701,-0.1309146,-0.15250883,-0.13209732,-36.204014,7.947961,-0.73697615
2022-12-19 14:55:49.8815936 +0300 EAT m=+450.486176301,-0.12137482,-0.20375918,-0.08958696,-37.035725,17.85415,-0.27453074
2022-12-19 14:55:49.9808198 +0300 EAT m=+450.585402501,-0.24545695,-0.32405493,-0.2974013,-62.633255,-0.9867872,-1.60672
2022-12-19 14:55:50.0767962 +0300 EAT m=+450.681378901,-0.30762115,-0.4218457,-0.38939357,-76.73643,-6.5647006,-2.080315
2022-12-19 14:55:50.1785721 +0300 EAT m=+450.783154801,-0.36585674,-0.43406323,-0.49488255,-87.91072,-17.936625,-2.890996
2022-12-19 14:55:50.2891958 +0300 EAT m=+450.893778501,-0.21444151,-0.34306222,-0.2315512,-57.702156,8.150689,-1.0334759
2022-12-19 14:55:50.3795677 +0300 EAT m=+450.984150401,-0.29167905,-0.33961153,-0.39906237,-69.61007,-15.740951,-2.3546953
2022-12-19 14:55:50.4863755 +0300 EAT m=+451.090958201,-0.16205585,-0.21055569,-0.17841168,-43.24468,5.0777717,-0.94889736
2022-12-19 14:55:50.5782218 +0300 EAT m=+451.182804501,-0.11314955,-0.21703094,-0.09042937,-33.796406,14.429772,-0.22252725
2022-12-19 14:55:50.6840161 +0300 EAT m=+451.288598801,-0.13194269,-0.17192465,-0.1261049,-37.230103,10.250646,-0.6408773
2022-12-19 14:55:50.7953668 +0300 EAT m=+451.399949501,-0.1951631,-0.25670934,-0.23726737,-49.715015,-1.0408629,-1.2857782
